index_no,tweets,id,tweet_len,date,source,likes,retweets
0,RT ICCLive 1st T20I New Zealand XI R Ravindra T Blundell W Young C de Grandhomme T Latham H Nicholls C McConchie D Bracewell A,1.43300622000533E+018,139,2021-09-01 09:58:01,Twitter Web App,0,16
1,RT ICCLive 1st T20I Bangladesh XI M Naim L Das Mahmudullah S Al Hasan M Rahim A Hossain Nurul Hasan M Hasan M Saifuddin N Ahme,1.43300621354191E+018,140,2021-09-01 09:57:59,Twitter Web App,0,10
2,New Zealand have won the toss and elected to bat in the first BANvNZ T20I ,1.43300183322882E+018,114,2021-09-01 09:40:35,Khoros Publishing App,936,46
3,starting tomorr httpstcoLuEmbAII8C,1.43299752559052E+018,140,2021-09-01 09:23:28,Khoros Publishing App,2120,98
4,Other changes in the MRFWorldwide ICC Mens Test Player Rankings for the week,1.43298791258969E+018,140,2021-09-01 08:45:16,Khoros Publishing App,4011,590
5,England captain root66 surges to the top spot in the MRFWorldwide ICC Mens Test Player Rankings httpstcobQxQviRA4L,1.43297882115903E+018,139,2021-09-01 08:09:09,Twitter for Advertisers.,5329,298
6,Final preparations in the nets for the New Zealand players in Dhaka ,1.43296909399334E+018,140,2021-09-01 07:30:29,Khoros Publishing App,1603,45
7,An absolute great of the game,1.43294632249191E+018,140,2021-09-01 06:00:00,Twitter Web App,12419,783
8,Happy birthday to Indias second greatest wickettaker in womens ODIs Neetu David  httpstcox0C1Ccpxq5,1.43293127579974E+018,109,2021-09-01 05:00:13,Khoros Publishing App,4804,106
9,Ishant Sharma and Ravichandran Ashwin combined to take httpstcoFQHCOFDaEf,1.43290306199598E+018,139,2021-09-01 03:08:06,Khoros Publishing App,3668,119
10,Happy birthday Tom Blundell one of only five wicketkeepers to make a century on mens Test debut  httpstcoVc0mSDskMO,1.43288037133567E+018,124,2021-09-01 01:37:56,Khoros Publishing App,4840,110
11,Happy bir httpstcoiQLvh5mJwi,1.43287179913036E+018,140,2021-09-01 01:03:53,Khoros Publishing App,1625,45
12,Rain forced an early end to the first T20I between South Africa and West Indies though not before a late flurry fr httpstcoddGT1IbUy7,1.43285592165961E+018,140,2021-09-01 00:00:47,Khoros Publishing App,406,13
13,After persistent rainfall the 1st T20I between West Indies and South Africa has been abandoned ,1.4328189835317E+018,140,2021-08-31 21:34:00,Twitter Web App,892,17
14,the rain started to fall leaving West Indies 2 httpstcoClKYj7wHns,1.4327968068832E+018,140,2021-08-31 20:05:53,Twitter Web App,620,16
15,Laura Wolvaardts late onslaught of 35 from just 21 b httpstco9hHmvUpBuW,1.43278728593481E+018,140,2021-08-31 19:28:03,Twitter Web App,603,16
16,South Africa are 571 at the midway point of their innings ,1.43277633950596E+018,133,2021-08-31 18:44:33,Twitter Web App,1164,20
17,MaroonWarriors WIWvSAW https,1.43276267651883E+018,140,2021-08-31 17:50:16,Twitter Web App,0,36
18,9492 runs in 197 matches across formats,1.43274250830452E+018,140,2021-08-31 16:30:07,Khoros Publishing App,3573,127
19,With the ICC Mens T20WorldCup just around the corner BCBtigers will want to put their best foot forward against httpstcocEAoieAMXx,1.43272741455621E+018,140,2021-08-31 15:30:09,Khoros Publishing App,1143,39
